name,cuisine,lat,lon,city,street,postcode,state,opening_hours,phone,website
Ruth's Chris Steak House,american;steak_house,33.6716654,-117.8455678,Irvine,Michelson Drive,92612,CA,,,
Memphis Cafe,american,33.6768659,-117.8866385,,,,,Tu-We 08:00-21:00; Th-Sa 08:00-22:00; Su 08:00-21:00,+1-714-432-7685,https://www.memphiscafe.com/
The Cheesecake Factory,american,33.6154152,-117.877442,Newport Beach,Newport Center Drive,92660,CA,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 10:00-22:00,+1-949-720-8333,https://locations.thecheesecakefactory.com/ca/newport-beach-6.html
P.F. Chang's,asian,33.615185,-117.8770935,Newport Beach,Newport Center Drive,92660,CA,Mo-Su 11:00-22:00,+1-949-759-9007,https://www.pfchangs.com/locations/us/ca/newport-beach/1145-newport-center-dr/1200-newport.html
The Melting Pot,fondue,33.6684048,-117.852298,,,,,,,
Snooty Fox,regional,33.6282008,-117.7257247,Laguna Hills,Lake Forest Drive,92653,CA,,,
Yard House,american,33.6428852,-117.917576,,,,,,,
The Old Spaghetti Factory,italian,33.6095651,-117.927776,,,,,,,
Sandy's,seafood;californian,33.6565551,-118.0021879,Huntington Beach,Pacific Coast Highway,92648,CA,,+1-714-374-7273,
Duke's,steak_house;seafood;hawaiian,33.656632,-118.0020976,Huntington Beach,Pacific Coast Highway,92648,CA,"Mo 11:30-14:30,17:00-21:00; Tu-Fr 11:30-14:30,17:00-21:30; Sa 11:00-15:00, 16:30-21:30; Su 10:00-14:00, 16:30-21:00",+1-714-374-6446,
China Palace,chinese;sushi,33.6207332,-117.9245234,,,,,,,
Tia Juana's,mexican,33.6746863,-117.7578095,,,,,,,
Sgt. Pepperoni's Pizza Store,pizza,33.6498198,-117.8320399,Irvine,Campus Drive,92612,CA,Mo-Su 11:00-22:00,,
Taiko Sushi Japanese Restaurant Irvine,sushi,33.6885854,-117.7714855,Irvine,Jeffrey Road,92618,CA,,+1-949-559-7190,https://taikoirvine.com/
Luna Rosa,italian,33.6973073,-117.828805,Tustin,Park Avenue,92782,,,,https://www.lunarossaristorante.com/
Zov's,mediterranean,33.734554,-117.7603966,,,,,,,
La Sirena Grill,mexican,33.7344246,-117.7600882,,,,,,,
Ayame,japanese,33.7345183,-117.7602062,,,,,,,
Johnnie's,pizza,33.7342306,-117.7599702,,,,,,,
Gen Sushi,sushi,33.7233649,-117.7714232,,,,,,,
Pan of Asia,chinese,33.723492,-117.7716351,,,,,,,
Round Table Pizza,pizza,33.723454,-117.7715814,,,,,,,
Niko Niko Sushi,sushi,33.6977239,-117.7408003,,Irvine Boulevard,,,,,
First Class Pizza,pizza,33.6983397,-117.7409907,,Irvine Boulevard,,,,,
Jalapeno's,mexican,33.6980966,-117.7409339,,Irvine Boulevard,,,,,
Asian Tapas,chinese,33.697648,-117.7408728,Irvine,Irvine Boulevard,92620,,,,
Fish District,seafood,33.6972219,-117.743123,,,,,,,
Bistro 24,sandwich,33.6749043,-117.8430734,,,,,,,
Pei Wei,asian,33.6955378,-117.8278073,Tustin,Barranca Parkway,92782,,,,
Full Moon Sushi,sushi,33.7453163,-117.8181174,,,,,,,
The Cheesecake Factory,american,33.6510718,-117.746138,,,,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 10:00-22:00",,
Fanous Mediterranean Grill,mediterranean,33.7215021,-117.8267272,,,,,,,
Stonefire Grill,american,33.6855462,-117.8113366,,Barranca Parkway,92606,,,,
Chronic Taco,mexican,33.6636031,-118.0049956,,,,,,,
BJ's,american,33.6580792,-118.000855,,,,,,+1 714-374-2224,https://www.bjsrestaurants.com/locations/ca/hb-main-st
Sushi Roku,sushi,33.615465,-117.8748235,Newport Beach,Newport Center Drive,92660,CA,Su-We 11:30-21:00; Th 11:30-21:30; Fr-Sa 11:30-20:30,+1-949-706-3622,https://www.sushiroku.com/locations/newport-beach
Great Maple,american,33.6155222,-117.8773216,Newport Beach,Newport Center Drive,92660,CA,Mo-Fr 10:30-21:00; Sa 09:00-21:00; Su 09:00-20:00,+1 949-706-8282,https://thegreatmaple.com/
Que Pasta Italia,italian,33.7165615,-118.038724,,,,,,,http://www.quepastaitalia.com/
Chihuahua,mexican,33.6152345,-117.9307716,,Newport Boulevard,,,Mo-Su 11:00-22:00,,https://www.chihuahuacerveza.com/taproom
Francoli Gourmet,italian,33.7874419,-117.8532766,Orange,South Glassell Street,92866,CA,11:00-22:00,+1 714-288-1077,https://www.francoligourmet.com/
Renata's Cafe Italiano,italian,33.7880321,-117.8511157,Orange,East Chapman Avenue,,CA,,,https://www.renatascafe.com/
Family Restaurant,mexican,33.7804286,-117.9158001,,,,,,,
Haus of Pizza,italian,33.7746916,-117.917373,,,,,,,
L5 Thai Restaurant,thai,33.774792,-117.9172142,,,,,,,
Mr. Pollo Peruvian Cuisine,peruvian,33.7803973,-117.9154558,,,,,,,
Panda House,chinese,33.7746861,-117.917659,,,,,,,
Thai Tangerine,thai,33.7806076,-117.9158024,,,,,,,
Tokyo Love Sushi Bar,japanese,33.7803948,-117.9153175,,,,,,,
Natraj's Tandoori,indian,33.7280289,-117.786657,,,,,,,
Woody's Diner,american,33.6182119,-117.9296134,,Via Lido,,,Mo-Su 07:00-22:00,,https://www.woodysdiners.com
I Heart Pancakes,breakfast;american;pancake,33.6494299,-117.8324009,Irvine,Campus Drive,92612,,Mo-Su 07:00-26:00,+1-949-418-7810,https://iheartpancakes.com/iheart-irvine
Fiesta Grill,mexican,33.6677118,-118.0091566,Huntington Beach,17th Street,92648,,10:00-21:00,+1-714-969-7689,
Krave Asian Fusion Restaurant,asian,33.6806927,-117.8379123,Irvine,Main Street,92614,CA,,,
BiG AL’S Pizzeria,pizza,33.787751,-117.856203,,,,,,+1-714-363-3663,https://bigalspizzeria.com/
Chaya,japanese,33.6813812,-117.8853456,,,,,,,
Hashigo Korean Kitchen,korean,33.6820466,-117.8866653,,,,,,,
Tandoori India Cuisine,indian,33.6946535,-117.8861544,,,,,,,
